,GEO_ID,Name,Total Population,Percent Male,Percent Female,Median Age,Percent Under 18,Percent 65 and Over,Percent White,Percent Black or African American,Percent American Indian and Alaska Native,Percent Asian,Percent Native Hawaiian and Other Pacific Islander,Percent Other Race,Percent Two or More Races,Percent Hispanic or Latino,Total Housing Units,Median Income,Percent of Population over 25 with Bachelor's Degree or Higher
662,1400000US19155021501,Census Tract 215.01; Pottawattamie County; Iowa,2512,50.7,49.3,35.5,30.1,14.8,95.9,0.3,0.0,0.6,0.0,0.4,2.8,1.4,918,79167,21.7
663,1400000US19155021502,Census Tract 215.02; Pottawattamie County; Iowa,2941,46.2,53.8,50.0,19.5,32.0,96.2,0.8,0.2,0.1,0.0,0.3,2.4,2.4,1392,65081,22.0
664,1400000US19155021602,Census Tract 216.02; Pottawattamie County; Iowa,2648,53.7,46.3,41.0,29.6,20.1,94.7,0.0,0.0,0.3,0.0,0.3,4.7,3.7,1020,94306,36.7
665,1400000US19155021603,Census Tract 216.03; Pottawattamie County; Iowa,2490,49.8,50.2,36.3,29.5,13.7,99.0,0.0,0.2,0.0,0.0,0.0,0.9,2.5,900,95278,29.3
666,1400000US19155021701,Census Tract 217.01; Pottawattamie County; Iowa,2452,53.4,46.6,39.8,23.9,19.9,86.1,0.3,0.3,0.0,1.3,3.9,8.2,11.1,1084,69643,23.9
667,1400000US19155021702,Census Tract 217.02; Pottawattamie County; Iowa,2003,52.9,47.1,41.7,24.8,20.5,95.4,0.0,0.1,0.0,0.0,0.0,4.5,2.1,865,76538,24.7
668,1400000US19155030100,Census Tract 301; Pottawattamie County; Iowa,6004,43.8,56.2,36.5,20.8,19.5,95.7,1.1,0.0,1.4,0.0,0.2,1.6,0.8,2711,64042,21.8
669,1400000US19155030200,Census Tract 302; Pottawattamie County; Iowa,3012,45.0,55.0,40.5,23.2,15.3,82.7,9.6,0.2,0.0,0.9,2.7,3.9,10.0,1455,39875,31.9
670,1400000US19155030300,Census Tract 303; Pottawattamie County; Iowa,3463,48.8,51.2,40.3,20.8,22.9,83.9,1.8,0.0,1.8,0.0,6.8,5.7,15.1,1452,70714,13.8
671,1400000US19155030401,Census Tract 304.01; Pottawattamie County; Iowa,3749,49.5,50.5,34.1,26.0,11.7,85.2,2.5,0.0,4.6,0.3,3.4,3.9,7.5,1567,41445,14.1
672,1400000US19155030402,Census Tract 304.02; Pottawattamie County; Iowa,2720,47.5,52.5,32.9,16.5,15.5,88.9,0.4,0.6,7.4,0.0,0.4,2.3,4.3,1422,54980,25.0
673,1400000US19155030501,Census Tract 305.01; Pottawattamie County; Iowa,2679,47.6,52.4,37.4,26.5,14.1,89.9,0.6,0.0,0.6,0.0,2.7,6.2,11.1,1055,66000,18.8
674,1400000US19155030502,Census Tract 305.02; Pottawattamie County; Iowa,2555,56.8,43.2,37.6,21.8,14.8,86.3,1.6,0.0,0.0,0.2,2.0,9.9,17.7,1059,56518,14.7
675,1400000US19155030601,Census Tract 306.01; Pottawattamie County; Iowa,2445,56.0,44.0,39.1,20.2,15.4,89.7,2.5,0.4,0.0,0.0,0.9,6.5,14.8,1078,61620,8.5
676,1400000US19155030602,Census Tract 306.02; Pottawattamie County; Iowa,2247,40.1,59.9,40.5,19.3,12.3,77.8,1.6,0.0,0.0,0.7,0.6,19.3,25.7,991,43924,9.0
677,1400000US19155030700,Census Tract 307; Pottawattamie County; Iowa,2740,48.2,51.8,41.3,17.0,10.1,80.1,0.4,2.0,0.0,0.0,11.5,6.0,30.4,1152,50870,5.9
678,1400000US19155030800,Census Tract 308; Pottawattamie County; Iowa,3399,52.8,47.2,39.8,17.6,12.2,93.2,1.8,1.4,0.0,0.0,0.3,3.2,11.7,1442,70161,9.2
679,1400000US19155030900,Census Tract 309; Pottawattamie County; Iowa,1559,46.6,53.4,41.5,16.9,23.3,89.0,1.6,0.0,2.1,0.0,5.3,1.9,15.5,1114,19338,10.7
680,1400000US19155031000,Census Tract 310; Pottawattamie County; Iowa,2107,52.3,47.7,41.5,19.8,16.6,90.3,1.4,0.1,0.9,0.0,0.6,6.7,3.4,1071,63333,27.1
681,1400000US19155031100,Census Tract 311; Pottawattamie County; Iowa,2590,47.8,52.2,39.4,27.0,14.4,96.4,0.1,0.0,0.0,0.0,0.0,3.6,11.1,1229,55903,27.0
682,1400000US19155031200,Census Tract 312; Pottawattamie County; Iowa,3393,50.4,49.6,39.0,27.9,19.7,94.1,0.4,0.0,0.0,0.0,0.0,5.5,6.8,1319,86213,34.2
683,1400000US19155031300,Census Tract 313; Pottawattamie County; Iowa,2994,48.1,51.9,38.6,20.4,20.5,78.7,0.4,0.0,1.4,0.0,4.1,15.3,16.3,1413,39783,14.2
684,1400000US19155031400,Census Tract 314; Pottawattamie County; Iowa,3973,49.2,50.8,29.9,35.1,15.0,85.4,2.5,0.0,2.5,0.0,0.0,9.6,10.1,1556,68462,21.9
685,1400000US19155031601,Census Tract 316.01; Pottawattamie County; Iowa,5333,48.0,52.0,40.9,25.5,20.4,97.1,0.0,0.2,0.0,0.0,0.9,1.9,2.1,2059,108547,45.2
686,1400000US19155031602,Census Tract 316.02; Pottawattamie County; Iowa,2789,51.9,48.1,52.9,20.3,29.7,90.3,0.1,0.0,0.2,0.0,0.0,9.4,0.3,1248,100663,25.4
687,1400000US19155031700,Census Tract 317; Pottawattamie County; Iowa,4943,56.2,43.8,32.9,17.9,16.0,87.3,7.8,0.0,0.2,0.0,2.6,2.1,4.9,1684,107865,29.6
688,1400000US19155031800,Census Tract 318; Pottawattamie County; Iowa,3016,52.5,47.5,48.0,19.7,23.6,91.6,1.4,0.0,0.0,0.0,1.0,6.0,4.5,1364,71855,31.7
689,1400000US19155031900,Census Tract 319; Pottawattamie County; Iowa,3613,51.5,48.5,42.2,28.3,19.5,91.8,0.0,0.4,1.3,0.0,0.8,5.7,5.1,1426,91613,38.4
690,1400000US19157370100,Census Tract 3701; Poweshiek County; Iowa,3307,53.5,46.5,37.9,20.3,18.2,98.1,0.1,0.0,0.0,0.0,0.3,1.5,2.5,1774,66667,15.7
691,1400000US19157370200,Census Tract 3702; Poweshiek County; Iowa,2720,54.9,45.1,49.8,18.1,24.0,95.7,0.0,0.0,0.0,0.0,0.2,4.1,4.9,1641,65185,27.3
692,1400000US19157370300,Census Tract 3703; Poweshiek County; Iowa,5140,43.7,56.3,31.5,16.6,15.3,84.8,2.7,0.0,7.7,0.0,1.7,3.0,4.1,1864,75035,49.2
693,1400000US19157370400,Census Tract 3704; Poweshiek County; Iowa,4434,46.7,53.3,43.5,22.6,27.4,94.4,1.6,0.0,0.1,0.0,0.3,3.6,2.3,2170,44327,28.3
694,1400000US19157370500,Census Tract 3705; Poweshiek County; Iowa,3007,51.4,48.6,40.7,22.3,20.0,92.8,0.1,1.3,0.4,0.0,2.6,2.8,3.8,1493,62466,18.2
695,1400000US19159950100,Census Tract 9501; Ringgold County; Iowa,1916,50.6,49.4,43.7,24.1,23.7,95.2,0.0,0.0,0.0,0.0,0.0,4.8,2.3,1341,81359,27.7
696,1400000US19159950200,Census Tract 9502; Ringgold County; Iowa,2774,48.6,51.4,43.9,23.9,22.4,95.0,0.2,0.0,0.1,0.0,3.3,1.3,3.3,1332,61979,19.1
697,1400000US19161080100,Census Tract 801; Sac County; Iowa,2770,57.9,42.1,42.9,22.9,17.1,91.9,0.7,0.0,0.4,1.5,3.1,2.4,11.2,1342,68071,18.9
698,1400000US19161080200,Census Tract 802; Sac County; Iowa,2507,50.4,49.6,43.7,26.7,26.6,97.5,0.0,0.0,0.2,0.0,0.4,1.9,0.9,1161,74145,19.2
